route_id,origin_facility_id,origin_facility_name,origin_city,destination_facility_id,destination_facility_name,destination_city,straight_line_km,road_distance_km,estimated_travel_hrs,primary_highway,transfer_types,flood_risk_score,congestion_risk_score,disruption_probability,is_active
e9024470-ab3e-470d-9467-fb72e6357ed1,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,7aff3511-d078-448e-a99d-90bfc23f7d81,Manipal Hospitals Bangalore,Bengaluru,3.3,4.6,0.08,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.15,0.2,0.175,True
baf5e60f-a4f0-4caf-9ad6-ef86f815af58,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,6ebb1cd6-4336-4042-a427-21e6d887b651,Sakra World Hospital,Bengaluru,1.8,2.6,0.05,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.12,0.29,0.205,True
4ec71867-70fc-4382-b665-8f5404ef8350,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,31a28173-ca6a-4d67-9360-2838c27e34b7,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,8.2,11.2,0.31,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.27,0.29,0.28,True
5fe8c4e7-086f-4bb6-836e-59df88e5665c,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,b49a2296-bdce-41bc-bf54-85c773ddb57d,Aster CMI Hospital,Bengaluru,6.6,10.6,0.27,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.35,0.27,0.31,True
b5196414-7d00-4df1-8ed8-bf3ed8cd1975,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,f067a3f8-7132-4fb0-a81a-596b322e6731,Aster RV Hospital,Bengaluru,4.9,8.3,0.22,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.17,0.2,0.185,True
26210de4-562e-4682-806e-32d065f1b2f4,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,943dcbc1-e0cf-405d-924d-ff309d9a66b2,SPARSH Hospital,Bengaluru,12.2,19.7,0.39,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.2,0.1,0.15,True
817a0587-7189-4b61-8060-c4de643fc8c4,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,a8f9f3d4-e4fb-4797-abf5-2ab8c2948574,Kauvery Hospital Marathahalli,Bengaluru,8.0,11.3,0.31,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.3,0.19,0.245,True
b5ea8b2c-2bbb-4ee4-8a66-4648279f9a1f,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,d5b5ef8f-7f44-4963-bd2b-b0d9257a7e70,Apollo Hospitals Bangalore,Bengaluru,8.3,11.6,0.28,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.07,0.39,0.23,True
6b227c2b-5d7f-4061-9aeb-bc1d8dce4db4,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,a0c953e6-f4d9-404d-9135-488a257b9e39,Manipal Hospitals Bangalore,Bengaluru,11.1,16.2,0.3,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.25,0.27,0.26,True
ae95ea76-fa74-4516-8fee-6d3f06f9e073,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,eb0a1ffc-6610-461d-8093-6a12d4937469,Fortis Hospitals Bangalore,Bengaluru,1.7,2.6,0.05,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.26,0.1,0.18,True
da001c9b-8b80-49fe-a124-81d399915c9d,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,6f8122ca-4ab3-4370-aaa4-24715eb38f9a,KIMS Hospitals,Bengaluru,5.2,8.7,0.21,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.16,0.22,0.19,True
06c8cb0e-7a4f-4bf6-b49e-ac67eec60d3f,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,dd834eb1-aaae-4891-b2ad-374d652abd13,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,8.4,13.3,0.31,SH/District Road (Bengaluru–Bengaluru),"[""general_supply""]",0.16,0.12,0.14,True
87e36993-6a4c-49fa-87df-eb021d302ecf,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,65dc85ee-f185-47d6-84aa-43ca635e1c0b,Felix Hospital,Bengaluru,8.1,12.1,0.32,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.31,0.2,0.255,True
7142ceae-706e-4d7c-84fc-ee0d70c202f0,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,bed2c1aa-514a-41ac-a282-a483af506301,Rainbow Children's Hospital,Bengaluru,3.2,5.4,0.11,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.28,0.38,0.33,True
1ce7397e-df5f-4899-9a86-203afd0a483e,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,a808bba1-23fa-4a2c-96c5-495ca4360c3f,Victoria Hospital Bengaluru,Bengaluru,6.0,8.6,0.19,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.06,0.13,0.095,True
c079ef03-3f5f-461c-8989-5a3bb755014b,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,96dc98c7-a0ad-4c3a-aed1-07de9e210bb7,Bowring & Lady Curzon Hospital,Bengaluru,10.1,15.0,0.31,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.3,0.18,0.24,True
bdb04f80-a4e8-457e-8544-8428d8982183,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,e37b51fd-2d91-40ea-892d-e5fa0abd7d93,K.R. Hospital Mysuru,Mysuru,134.5,174.8,2.94,NH-275 (Bengaluru-Mysuru Expressway),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.05,0.52,0.285,True
e12998d0-7c82-4ab8-b974-dfbf8ee0441c,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,f4b4a7a3-22b2-42b2-83ed-636f0947ef6d,Kidwai Memorial Institute of Oncology,Bengaluru,5.6,8.1,0.23,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.22,0.35,0.285,True
9db9db02-92b5-401f-861e-ca4dc8372f88,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,820f482b-7d4c-4705-b3e9-eea15ecd8762,Sri Jayadeva Institute of Cardiovascular Sciences,Bengaluru,6.0,8.2,0.16,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.24,0.24,0.24,True
e6ed5c2c-29f3-4744-b801-9566cec1447f,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,401cb2c4-3d8c-4c79-8693-b66fb8c9f768,National Institute of Mental Health and Neuro Sciences,Bengaluru,7.2,9.8,0.18,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.19,0.22,0.205,True
816a3631-ef94-401f-982c-6eff49f4c661,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,92366c87-92d8-4174-bdac-9d3aedc179b0,St. Martha's Hospital,Bengaluru,6.3,10.5,0.2,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.27,0.35,0.31,True
d5ec96be-1f30-44c5-83bd-249adc51d47e,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,cc8b8416-bfe6-4b78-9ae0-dc3a028df947,Ramaiah Memorial Hospital,Bengaluru,8.4,11.6,0.23,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.15,0.36,0.255,True
7022a9e0-d1ec-4fd2-9247-da8a2b0f6714,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,78399964-5347-49c7-bcbf-e7353d627e13,S Nijalingappa Medical College,Bengaluru,7.3,9.9,0.23,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.28,0.25,0.265,True
386eed98-bb1d-430e-8864-1610cb84e747,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,4de9da93-ced1-40d4-ab48-6dccb51417e7,District Hospital Tumakuru,Tumakuru,71.5,91.7,1.45,NH-48 (Bengaluru-Tumakuru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.21,0.77,0.49,True
8a7398e0-8544-4fba-ac58-577c7ab4849c,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,b40a7c7e-eb84-47cf-91a0-5e73e42702ca,Columbia Asia Hospital Hebbal,Bengaluru,5.5,8.8,0.17,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.14,0.32,0.23,True
d974c884-00c0-449a-a01a-d2575b05700d,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,583abb54-6df1-4432-b2a0-fd6d6fb36ec1,Sagar Hospitals Kumaraswamy,Bengaluru,2.2,3.0,0.06,SH/District Road (Bengaluru–Bengaluru),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.31,0.37,0.34,True
36734602-7603-4bfd-abad-bbc118d02933,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,1760cf46-90e5-4fc8-b564-21695685a3a7,Vikram Hospital Millers Road,Bengaluru,6.6,9.1,0.18,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.08,0.24,0.16,True
679bba9a-7339-4063-b6ee-64672afe26ce,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,fae91a59-d210-46e8-955c-fe2322805d7f,Cloudnine Hospital Jayanagar,Bengaluru,4.2,6.7,0.15,SH/District Road (Bengaluru–Bengaluru),"[""patient_referral"", ""emergency_supply_relay""]",0.15,0.31,0.23,True
9769334d-98d2-42bb-a0df-ab4e420df2be,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,886a5c01-1a69-44af-bbd8-bfac1c904067,Meenakshi Mission Hospital,Mysuru,129.0,165.4,2.48,NH-275 (Bengaluru-Mysuru Expressway),"[""blood_transfer"", ""patient_referral"", ""emergency_supply_relay""]",0.21,0.71,0.46,True
