route_id,supplier_id,supplier_name,supplier_city,facility_id,facility_name,facility_city,straight_line_km,road_distance_km,estimated_travel_hrs,primary_highway,route_type,flood_risk_score,congestion_risk_score,disruption_probability,is_primary_route,is_emergency_route,is_active
bd93768e-385e-4bba-9b2b-5b92ec073b8c,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,fc379ba5-711c-44fd-8fd8-92740cbf1b1c,Apollo Hospitals Bangalore,Bengaluru,12.1,19.6,0.45,SH/District Road (Bengaluru–Bengaluru),intra_city,0.31,0.31,0.368,True,False,True
0dbc99c7-00c5-4eab-bd4b-275b88c53149,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,7aff3511-d078-448e-a99d-90bfc23f7d81,Manipal Hospitals Bangalore,Bengaluru,10.4,14.4,0.26,SH/District Road (Bengaluru–Bengaluru),intra_city,0.28,0.34,0.365,True,False,True
b6818040-946a-44af-baab-3fab0b03e929,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,6ebb1cd6-4336-4042-a427-21e6d887b651,Sakra World Hospital,Bengaluru,13.2,18.5,0.42,SH/District Road (Bengaluru–Bengaluru),intra_city,0.16,0.38,0.329,True,False,True
07f45a0c-2e9d-4216-a21e-d63998daa2fc,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,31a28173-ca6a-4d67-9360-2838c27e34b7,BGS Gleneagles Global Hospital Bengaluru,Bengaluru,4.0,6.3,0.12,SH/District Road (Bengaluru–Bengaluru),intra_city,0.18,0.17,0.274,True,False,True
2b48633b-c46d-41c8-9463-b6a32f9029e8,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,b49a2296-bdce-41bc-bf54-85c773ddb57d,Aster CMI Hospital,Bengaluru,13.4,20.6,0.57,SH/District Road (Bengaluru–Bengaluru),intra_city,0.3,0.29,0.358,True,False,True
94dd4199-0f0e-407a-b62b-d2aaacad80a4,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,f067a3f8-7132-4fb0-a81a-596b322e6731,Aster RV Hospital,Bengaluru,8.2,13.2,0.31,SH/District Road (Bengaluru–Bengaluru),intra_city,0.34,0.37,0.398,True,False,True
d98f45f4-df0e-4c84-9536-4d6e5ec3b704,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,943dcbc1-e0cf-405d-924d-ff309d9a66b2,SPARSH Hospital,Bengaluru,0.1,0.1,0.0,SH/District Road (Bengaluru–Bengaluru),intra_city,0.19,0.11,0.26,True,False,True
66426bee-6cc5-4551-bfc2-7aca9c73b50d,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,a8f9f3d4-e4fb-4797-abf5-2ab8c2948574,Kauvery Hospital Marathahalli,Bengaluru,4.5,6.3,0.13,SH/District Road (Bengaluru–Bengaluru),intra_city,0.27,0.39,0.376,True,False,True
c2c27478-4874-4e59-ae72-db11af7da648,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,d5b5ef8f-7f44-4963-bd2b-b0d9257a7e70,Apollo Hospitals Bangalore,Bengaluru,12.8,18.8,0.44,SH/District Road (Bengaluru–Bengaluru),intra_city,0.19,0.16,0.275,True,False,True
73a87599-d899-4765-ab15-11609e10f371,0170efbf-516b-4583-840e-1af80043efc5,Cipla Limited,Bengaluru,a0c953e6-f4d9-404d-9135-488a257b9e39,Manipal Hospitals Bangalore,Bengaluru,7.0,9.8,0.22,SH/District Road (Bengaluru–Bengaluru),intra_city,0.12,0.3,0.289,True,False,True
