hist_id,disaster_type,severity,location_name,year,items_most_affected,avg_supply_delay_added_days,demand_multipliers,notes
90559fc9-b613-493e-bbd7-95b25335fa4d,flood,4,Karnataka,2017,"[""trauma"", ""burn""]",5.1,"{""trauma"": 3.0, ""burn"": 3.1, ""respiratory"": 2.7, ""general"": 2.4}",Severity 4 flood in Karnataka (2017). Major supply chain disruption.
01f20cd3-5998-4405-8692-a790e09cd663,collapse,2,Mumbai building collapse,2015,"[""trauma"", ""respiratory""]",2.4,"{""trauma"": 2.6, ""burn"": 2.4, ""respiratory"": 1.8, ""general"": 1.7}",Severity 2 collapse in Mumbai building collapse (2015). Major supply chain disruption.
e221c52b-3306-40c3-9c3d-faf6a77327ca,fire,3,Delhi factory fire,2018,"[""trauma"", ""burn""]",2.6,"{""trauma"": 2.7, ""burn"": 3.1, ""respiratory"": 2.1, ""general"": 2.0}",Severity 3 fire in Delhi factory fire (2018). Major supply chain disruption.
80e67db4-6244-4caf-bc94-b1d2f5afd06c,earthquake,4,Nepal-Bihar border,2016,"[""trauma"", ""respiratory""]",7.0,"{""trauma"": 4.3, ""burn"": 2.7, ""respiratory"": 3.5, ""general"": 2.1}",Severity 4 earthquake in Nepal-Bihar border (2016). Major supply chain disruption.
44ec00e7-9967-4676-bed4-9c6a07ce1e5a,flood,3,Hyderabad,2019,"[""trauma"", ""burn""]",4.8,"{""trauma"": 4.9, ""burn"": 3.0, ""respiratory"": 3.5, ""general"": 2.1}",Severity 3 flood in Hyderabad (2019). Major supply chain disruption.
40565689-a44b-45f3-befd-d8a1e9a329e2,cyclone,4,"Amphan, West Bengal",2020,"[""trauma"", ""burn""]",5.5,"{""trauma"": 3.9, ""burn"": 3.7, ""respiratory"": 2.1, ""general"": 2.3}","Severity 4 cyclone in Amphan, West Bengal (2020). Major supply chain disruption."
75ac5f34-17f0-4006-b882-e51140ce00fd,cyclone,5,"Hudhud, Andhra Pradesh",2012,"[""trauma"", ""burn""]",7.0,"{""trauma"": 4.7, ""burn"": 2.6, ""respiratory"": 2.5, ""general"": 2.2}","Severity 5 cyclone in Hudhud, Andhra Pradesh (2012). Major supply chain disruption."
e7bbda92-95fd-4a00-b5fa-257750402775,flood,4,Kerala,2017,"[""trauma"", ""burn""]",6.8,"{""trauma"": 3.8, ""burn"": 3.7, ""respiratory"": 2.1, ""general"": 2.2}",Severity 4 flood in Kerala (2017). Major supply chain disruption.
a7a66edd-3d27-40f0-a229-ac06f6895cca,cyclone,3,"Tauktae, Gujarat",2019,"[""trauma"", ""burn""]",4.7,"{""trauma"": 2.4, ""burn"": 2.7, ""respiratory"": 1.9, ""general"": 1.7}","Severity 3 cyclone in Tauktae, Gujarat (2019). Major supply chain disruption."
226de01c-58b9-4845-9437-256f3f46eb37,cyclone,4,"Nisarga, Maharashtra",2023,"[""trauma"", ""burn""]",4.7,"{""trauma"": 5.0, ""burn"": 2.6, ""respiratory"": 3.3, ""general"": 1.4}","Severity 4 cyclone in Nisarga, Maharashtra (2023). Major supply chain disruption."
168e9e58-1cf6-4332-96be-191e13a72e4e,cyclone,5,Odisha (Fani),2021,"[""trauma"", ""burn""]",6.0,"{""trauma"": 3.9, ""burn"": 2.2, ""respiratory"": 1.5, ""general"": 2.3}",Severity 5 cyclone in Odisha (Fani) (2021). Major supply chain disruption.
30b019cf-05fb-44d5-baeb-219320918731,cyclone,4,"Nisarga, Maharashtra",2019,"[""trauma"", ""burn""]",6.5,"{""trauma"": 2.2, ""burn"": 3.8, ""respiratory"": 3.5, ""general"": 2.2}","Severity 4 cyclone in Nisarga, Maharashtra (2019). Major supply chain disruption."
075c5ea7-c5f3-48f0-b6c5-c3d4c50ba716,cyclone,3,"Nisarga, Maharashtra",2022,"[""trauma"", ""burn""]",4.2,"{""trauma"": 3.6, ""burn"": 2.0, ""respiratory"": 2.8, ""general"": 1.3}","Severity 3 cyclone in Nisarga, Maharashtra (2022). Major supply chain disruption."
834e0276-87db-48a9-a7c5-7e481ba0623e,earthquake,5,Nepal-Bihar border,2013,"[""trauma"", ""respiratory""]",7.3,"{""trauma"": 5.0, ""burn"": 3.8, ""respiratory"": 1.8, ""general"": 1.4}",Severity 5 earthquake in Nepal-Bihar border (2013). Major supply chain disruption.
2b61a08e-10a9-4940-a31e-1b74c3d29e40,earthquake,5,Nepal-Bihar border,2014,"[""trauma"", ""respiratory""]",5.5,"{""trauma"": 2.2, ""burn"": 3.3, ""respiratory"": 2.1, ""general"": 2.1}",Severity 5 earthquake in Nepal-Bihar border (2014). Major supply chain disruption.
b9351ce3-d0f3-4021-8877-52f4584d481e,flood,3,Assam,2022,"[""trauma"", ""burn""]",5.5,"{""trauma"": 2.9, ""burn"": 2.9, ""respiratory"": 3.4, ""general"": 1.5}",Severity 3 flood in Assam (2022). Major supply chain disruption.
bc690b89-0532-49d6-b5bf-786c0ab95a7a,cyclone,4,"Vardah, Chennai",2014,"[""trauma"", ""burn""]",6.7,"{""trauma"": 3.2, ""burn"": 1.9, ""respiratory"": 2.4, ""general"": 1.9}","Severity 4 cyclone in Vardah, Chennai (2014). Major supply chain disruption."
020c5b69-9afe-4e25-8a5d-4e2d4f59a5ff,cyclone,5,"Amphan, West Bengal",2024,"[""trauma"", ""burn""]",9.5,"{""trauma"": 2.1, ""burn"": 2.5, ""respiratory"": 3.2, ""general"": 2.2}","Severity 5 cyclone in Amphan, West Bengal (2024). Major supply chain disruption."
62679293-242a-406b-a42e-23c480e775e4,cyclone,3,"Tauktae, Gujarat",2023,"[""trauma"", ""burn""]",3.4,"{""trauma"": 3.7, ""burn"": 1.9, ""respiratory"": 2.3, ""general"": 1.6}","Severity 3 cyclone in Tauktae, Gujarat (2023). Major supply chain disruption."
f5209c06-360c-4a0b-bae8-bad20fd7e1bb,earthquake,3,Manipur,2018,"[""trauma"", ""respiratory""]",3.1,"{""trauma"": 2.2, ""burn"": 1.8, ""respiratory"": 2.4, ""general"": 1.4}",Severity 3 earthquake in Manipur (2018). Major supply chain disruption.
92374d72-b75a-423c-9a42-66eb31cceb98,flood,5,Kerala,2022,"[""trauma"", ""burn""]",6.4,"{""trauma"": 4.2, ""burn"": 2.4, ""respiratory"": 2.3, ""general"": 1.7}",Severity 5 flood in Kerala (2022). Major supply chain disruption.
4f750262-8de5-4d5f-9dce-ad99cfdef11d,earthquake,4,Sikkim,2012,"[""trauma"", ""respiratory""]",8.0,"{""trauma"": 2.9, ""burn"": 4.0, ""respiratory"": 1.6, ""general"": 2.4}",Severity 4 earthquake in Sikkim (2012). Major supply chain disruption.
4fd17180-6027-44bc-b888-66826b067648,flood,5,Chennai,2016,"[""trauma"", ""burn""]",8.5,"{""trauma"": 2.5, ""burn"": 3.4, ""respiratory"": 3.4, ""general"": 2.2}",Severity 5 flood in Chennai (2016). Major supply chain disruption.
3c7adec1-d48d-4766-a7ce-e6d46f5a3ebb,earthquake,5,Sikkim,2013,"[""trauma"", ""respiratory""]",9.6,"{""trauma"": 3.5, ""burn"": 3.2, ""respiratory"": 2.9, ""general"": 2.0}",Severity 5 earthquake in Sikkim (2013). Major supply chain disruption.
4a8442c4-28c6-4bb8-9e59-e2d7aa07a283,cyclone,3,"Nisarga, Maharashtra",2019,"[""trauma"", ""burn""]",4.9,"{""trauma"": 2.1, ""burn"": 3.5, ""respiratory"": 2.8, ""general"": 2.1}","Severity 3 cyclone in Nisarga, Maharashtra (2019). Major supply chain disruption."
85e0a5b1-7a85-489a-85af-549d68769e22,cyclone,5,"Amphan, West Bengal",2020,"[""trauma"", ""burn""]",9.7,"{""trauma"": 3.4, ""burn"": 3.2, ""respiratory"": 2.0, ""general"": 2.0}","Severity 5 cyclone in Amphan, West Bengal (2020). Major supply chain disruption."
354bbc7d-0f53-418a-9e33-c40cdd719d2c,flood,3,Assam,2018,"[""trauma"", ""burn""]",4.5,"{""trauma"": 4.3, ""burn"": 3.1, ""respiratory"": 3.3, ""general"": 1.7}",Severity 3 flood in Assam (2018). Major supply chain disruption.
85be5fca-2723-4c55-aa01-92b9d11b6a82,earthquake,4,Gujarat (Bhuj),2003,"[""trauma"", ""respiratory""]",5.6,"{""trauma"": 4.6, ""burn"": 1.9, ""respiratory"": 2.4, ""general"": 2.1}",Severity 4 earthquake in Gujarat (Bhuj) (2003). Major supply chain disruption.
